Date,Volume,Open,High,Low,Close
2014-12-08,138260571,14.7693,14.9907,14.156,14.2907
2014-12-09,141405904,13.956,14.5153,13.618,14.4593
2014-12-10,109622540,14.2753,14.4513,13.8467,13.9893
2014-12-11,100266835,14.0353,14.362,13.882,13.9253
2014-12-12,107507556,13.6547,14.112,13.6333,13.8
2014-12-15,77934666,13.9527,13.9867,13.5113,13.6027
2014-12-16,126242622,13.3927,13.5787,13.0247,13.1873
2014-12-17,110445485,12.8707,13.7767,12.8433,13.7213
2014-12-18,111976774,14.1587,14.5627,14.12,14.5507
2014-12-19,103530863,14.6793,14.6933,14.3,14.6193
2014-12-22,72038169,14.6667,14.9373,14.5507,14.84
2014-12-23,67643141,14.9207,14.9543,14.635,14.7313
2014-12-24,20002760,14.6513,14.8333,14.6167,14.8173
2014-12-26,49866530,14.7673,15.2333,14.7667,15.188
2014-12-29,42044709,15.1267,15.194,14.9347,15.0473
2014-12-30,43474058,14.9327,15.0436,14.76,14.8153
2014-12-31,35894187,14.8727,15.0453,14.8167,14.8273
2015-01-02,71298549,14.858,14.8833,14.2173,14.6207
2015-01-05,80332235,14.3033,14.4333,13.8108,14.006
2015-01-06,93864718,14.004,14.28,13.614,14.0853
2015-01-07,44479928,14.2233,14.3187,13.9853,14.0633
2015-01-08,51523489,14.1873,14.2533,14.0007,14.041
2015-01-09,68869616,13.928,13.9987,13.664,13.7773
2015-01-12,89184060,13.5367,13.6313,13.2833,13.4807
2015-01-13,63715528,13.5547,13.8407,13.3941,13.6167
2015-01-14,172745014,12.3887,13.0133,12.3333,12.846
2015-01-15,78071616,12.966,13.05,12.6667,12.7913
2015-01-16,53862798,12.7133,12.966,12.6433,12.8713
2015-01-20,67360181,12.9247,12.9413,12.4693,12.7953
2015-01-21,62161784,12.6367,13.2453,12.634,13.1047
2015-01-22,61556264,13.1333,13.5493,13.0133,13.4413
2015-01-23,51615754,13.3527,13.5667,13.222,13.4193
2015-01-26,48466791,13.4553,13.908,13.4033,13.77
2015-01-27,41668869,13.628,13.8687,13.5533,13.732
2015-01-28,47092191,13.7407,13.7579,13.228,13.2913
2015-01-29,53138628,13.4047,13.732,13.1,13.68
2015-01-30,45018997,13.5973,13.8313,13.5333,13.5733
2015-02-02,62157719,13.598,14.13,13.5533,14.0627
2015-02-03,72237474,14.2147,14.6913,14.0847,14.5573
2015-02-04,49566230,14.5527,14.7653,14.4533,14.57
2015-02-05,52774714,14.6587,15.032,14.6425,14.7327
2015-02-06,48537816,14.8,14.8933,14.4333,14.4907
2015-02-09,52046614,14.3587,14.5287,14.1327,14.4987
2015-02-10,80232890,14.5033,14.7,14.3333,14.4193
2015-02-11,135796177,14.1473,14.316,13.8187,14.1867
2015-02-12,234402333,12.9047,13.5392,12.8853,13.5253
2015-02-13,92223059,13.5267,13.7327,13.394,13.5847
2015-02-17,59468295,13.7133,13.7133,13.4333,13.6233
2015-02-18,40663450,13.6113,13.7447,13.5067,13.6307
2015-02-19,77058006,13.6667,14.1627,13.5833,14.1137
2015-02-20,89675595,14.052,14.5067,13.9873,14.474
2015-02-23,127306901,14.3773,14.5467,13.7553,13.8223
2015-02-24,98809421,13.8193,13.8193,13.4467,13.6073
